t,plant,axis,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,teq_since_primordium
16,1,MS,False,0.00000000,5.40100000,0.00001898,1,1545.25815500,1545.25815500,0.05535101,10,0.00000000,vegetative,3.78724784,27268.18445415
17,1,MS,False,0.00000000,5.48900000,0.00001939,1,1570.43547728,1570.43547728,0.05541443,10,0.00000000,vegetative,4.00536388,28838.61993143
18,1,MS,False,0.00000000,5.60000000,0.00002393,1,1602.19323607,1602.19323607,0.05547889,10,0.00000000,vegetative,4.22789072,30440.81316750
19,1,MS,False,0.00000000,5.71200000,0.00002461,1,1634.23710079,1634.23710079,0.05554436,10,0.00000000,vegetative,4.45486809,32075.05026829
20,1,MS,False,0.00000000,5.84000000,0.00002972,1,1670.85866047,1670.85866047,0.05561102,10,0.00000000,vegetative,4.68693180,33745.90892876
21,1,MS,False,0.00000000,6.00100000,0.00003020,1,1716.92171601,1716.92171601,0.05567920,10,0.00000000,vegetative,4.92539315,35462.83064477
22,1,MS,False,0.00000000,6.20300000,0.00005139,1,1774.71511488,1774.71511488,0.05574936,10,0.00000000,vegetative,5.17188136,37237.54575965
23,1,MS,False,0.00000000,6.43300000,0.00005112,1,1840.51947993,1840.51947993,0.05582600,10,0.00000000,vegetative,5.42750906,39078.06523958
24,1,MS,False,0.00000000,6.62600000,0.00004105,1,1895.73792539,1895.73792539,0.05590482,10,0.00000000,vegetative,5.69080600,40973.80316497
25,1,MS,False,0.00000000,6.77300000,0.00005532,1,1937.79549784,1937.79549784,0.05598507,10,0.00000000,vegetative,5.95994426,42911.59866281
26,1,MS,False,0.00000000,6.93100000,0.00007661,1,1983.00023557,1983.00023557,0.05606693,10,0.00000000,vegetative,6.23536096,44894.59889838
27,1,MS,False,0.00000000,7.14000000,0.00004638,1,2042.79637599,2042.79637599,0.05615917,10,0.00000000,vegetative,6.51908268,46937.39527437
28,1,MS,False,0.00000000,7.30500000,0.00002776,1,2090.00385526,2090.00385526,0.05624918,10,0.00000000,vegetative,6.80936099,49027.39912963
29,1,MS,False,0.00000000,7.42500000,0.00002444,1,2124.33656747,2124.33656747,0.05633819,10,0.00000000,vegetative,7.10440774,51151.73569710
30,1,MS,False,0.00000000,7.50000000,0.00002462,1,2145.79451259,2145.79451259,0.05642778,10,0.00000000,vegetative,7.40243475,53297.53020969
31,1,MS,False,0.00000000,7.57000000,0.00003917,1,2165.82192804,2165.82192804,0.05651775,10,0.00000000,vegetative,7.70324335,55463.35213773
32,1,MS,False,0.00000000,7.53500000,0.00005000,1,2155.80822032,2155.80822032,0.05660677,10,0.00000000,vegetative,8.00266116,57619.16035805
33,1,MS,False,0.00000000,7.59000000,0.00005810,1,2171.54404674,2171.54404674,0.05669585,10,0.00000000,vegetative,8.30426450,59790.70440479
34,1,MS,False,0.00000000,7.52000000,0.00007221,1,2151.51663129,2151.51663129,0.05678345,10,0.00000000,vegetative,8.60308626,61942.22103608
35,1,MS,False,0.00000000,7.36500000,0.00006264,1,2107.17021137,2107.17021137,0.05686857,10,0.00000000,vegetative,8.89574878,64049.39124745
36,1,MS,False,0.00000000,7.43000000,0.00004401,1,2125.76709714,2125.76709714,0.05695373,10,0.00000000,vegetative,9.19099421,66175.15834459
37,1,MS,False,0.00000000,7.53000000,0.00007827,1,2154.37769064,2154.37769064,0.05703928,10,0.00000000,vegetative,9.49021334,68329.53603523
38,1,MS,False,0.00000000,7.46500000,0.00010557,1,2135.78080487,2135.78080487,0.05712328,10,0.00000000,vegetative,9.78684956,70465.31684010
39,1,MS,False,0.00000000,7.16000000,0.00007332,1,2048.51849469,2048.51849469,0.05720306,10,0.00000000,vegetative,10.07136602,72513.83533478
40,1,MS,False,0.00000000,7.01500000,0.00008652,1,2007.03313411,2007.03313411,0.05728045,10,0.00000000,vegetative,10.35012062,74520.86846890
41,1,MS,False,0.00000000,7.03500000,0.00008317,1,2012.75525281,2012.75525281,0.05735731,10,0.00000000,vegetative,10.62966996,76533.62372171
42,1,MS,False,0.00000000,6.99600000,0.00005295,1,2001.59712135,2001.59712135,0.05743293,10,0.00000000,vegetative,10.90766956,78535.22084305
43,1,MS,False,0.00000000,6.92800000,0.00005933,1,1982.14191776,1982.14191776,0.05750697,10,0.00000000,vegetative,11.18296705,80517.36276082
44,1,MS,False,0.00000000,6.72700000,0.00005737,1,1924.63462483,1924.63462483,0.05757805,10,0.00000000,vegetative,11.45027741,82441.99738564
45,1,MS,False,0.00000000,6.38100000,0.00030208,1,1825.64197131,1825.64197131,0.05764471,10,0.00000000,vegetative,11.70383880,84267.63935696
46,1,MS,False,0.00000000,6.25000000,0.00063364,1,1788.16209383,1788.16209383,0.05770960,10,0.00000000,vegetative,11.95219465,86055.80145078
47,1,MS,False,0.00000000,6.45200000,0.00066248,1,1845.95549270,1845.95549270,0.05777696,10,0.00000000,vegetative,12.20857735,87901.75694348
48,1,MS,False,0.00000000,6.75600000,0.00113059,1,1932.93169694,1932.93169694,0.05784889,10,0.00000000,vegetative,12.47704009,89834.68864042
49,1,MS,False,0.00000000,7.07500000,0.00100623,1,2024.19949021,2024.19949021,0.05792672,10,0.00000000,vegetative,12.75817891,91858.88813064
50,1,MS,False,0.00000000,7.19500000,0.00071352,1,2058.53220241,2058.53220241,0.05800898,10,0.00000000,vegetative,13.04408616,93917.42033305
51,1,MS,False,0.00000000,7.13500000,0.00054847,1,2041.36584631,2041.36584631,0.05809335,10,0.00000000,vegetative,13.32760919,95958.78617936
52,1,MS,False,0.00000000,7.03800000,0.00015382,1,2013.61357062,2013.61357062,0.05817872,10,0.00000000,vegetative,13.60727774,97972.39974998
53,1,MS,False,0.00000000,6.73600000,0.00009330,1,1927.20957824,1927.20957824,0.05826164,10,0.00000000,vegetative,13.87494574,99899.60932822
54,1,MS,False,0.00000000,6.37100000,0.00007280,1,1822.78091196,1822.78091196,0.05834049,10,0.00000000,vegetative,14.12810976,101722.39024018
55,1,MS,False,0.00000000,6.14300000,0.00004271,1,1757.54875878,1757.54875878,0.05841475,10,0.00000000,vegetative,14.37221375,103479.93899896
56,1,MS,False,0.00000000,5.92200000,0.00004793,1,1694.31934714,1694.31934714,0.05848799,10,0.00000000,vegetative,14.60753588,105174.25834611
57,1,MS,False,0.00000000,5.79200000,0.00005230,1,1657.12557559,1657.12557559,0.05855942,10,0.00000000,vegetative,14.83769221,106831.38392170
58,1,MS,False,0.00000000,5.71100000,0.00005234,1,1633.95099485,1633.95099485,0.05862958,10,0.00000000,vegetative,15.06462985,108465.33491655
59,1,MS,False,0.00000000,5.68600000,0.00003865,1,1626.79834648,1626.79834648,0.05869910,10,0.00000000,vegetative,15.29057406,110092.13326303
60,1,MS,False,0.00000000,5.67500000,0.00002924,1,1623.65118119,1623.65118119,0.05876717,10,0.00000000,vegetative,15.51608117,111715.78444422
61,1,MS,False,0.00000000,5.62100000,0.00002507,1,1608.20146070,1608.20146070,0.05883518,10,0.00000000,vegetative,15.73944249,113323.98590493
62,1,MS,False,0.00000000,5.53500000,0.00002474,1,1583.59635029,1583.59635029,0.05890174,10,0.00000000,vegetative,15.95938642,114907.58225522
63,1,MS,False,0.00000000,5.43300000,0.00002107,1,1554.41354492,1554.41354492,0.05896669,10,0.00000000,vegetative,16.17527719,116461.99580014
64,1,MS,False,0.00000000,5.35100000,0.00001757,1,1530.95285825,1530.95285825,0.05903024,10,0.00000000,vegetative,16.38790954,117992.94865839
65,1,MS,False,0.00000000,5.29800000,0.00001734,1,1515.78924369,1515.78924369,0.05909275,10,0.00000000,vegetative,16.59843582,119508.73790209
66,1,MS,False,0.00000000,5.24600000,0.00001747,1,1500.91173507,1500.91173507,0.05915422,10,0.00000000,vegetative,16.80689578,121009.64963716
67,1,MS,False,0.00000000,5.17400000,0.00002054,1,1480.31210775,1480.31210775,0.05921442,10,0.00000000,vegetative,17.01249469,122489.96174492
68,1,MS,False,0.00000000,5.08700000,0.00002055,1,1455.42089141,1455.42089141,0.05927319,10,0.00000000,vegetative,17.21463648,123945.38263632
69,1,MS,False,0.00000000,4.99800000,0.00003780,1,1429.95746319,1429.95746319,0.05933050,10,0.00000000,vegetative,17.41324168,125375.34009951
70,1,MS,False,0.00000000,4.94800000,0.00005688,1,1415.65216644,1415.65216644,0.05938685,10,0.00000000,vegetative,17.60986004,126790.99226595
71,1,MS,False,0.00000000,4.96700000,0.00011314,1,1421.08817921,1421.08817921,0.05944312,10,0.00000000,vegetative,17.80723340,128212.08044516
72,1,MS,False,0.00000000,5.11400000,0.00015624,1,1463.14575165,1463.14575165,0.05950092,10,0.00000000,vegetative,18.01044808,129675.22619681
73,1,MS,False,0.00000000,5.32800000,0.00021743,1,1524.37242175,1524.37242175,0.05956128,10,0.00000000,vegetative,18.22216647,131199.59861856
74,1,MS,False,0.00000000,5.43500000,0.00020820,1,1554.98575679,1554.98575679,0.05962327,10,0.00000000,vegetative,18.43813672,132754.58437535
75,1,MS,False,0.00000000,5.44200000,0.00021447,1,1556.98849834,1556.98849834,0.05968595,10,0.00000000,vegetative,18.65438512,134311.57287369
76,1,MS,False,0.00000000,5.25600000,0.00015059,1,1503.77279442,1503.77279442,0.05974715,10,0.00000000,vegetative,18.86324245,135815.34566811
77,1,MS,False,0.00000000,4.89800000,0.00006065,1,1401.34686969,1401.34686969,0.05980473,10,0.00000000,vegetative,19.05787396,137216.69253780
78,1,MS,False,0.00000000,4.39500000,0.00005493,1,1257.43558438,1257.43558438,0.05985671,10,0.00000000,vegetative,19.23251779,138474.12812218
79,1,MS,False,0.00000000,3.92600000,0.00004548,1,1123.25190086,1123.25190086,0.05990325,10,0.00000000,vegetative,19.38852500,139597.38002304
80,1,MS,False,0.00000000,3.53700000,0.00003588,1,1011.95669214,1011.95669214,0.05994519,10,0.00000000,vegetative,19.52907454,140609.33671517
81,1,MS,False,0.00000000,3.16000000,0.00003267,1,904.09475464,904.09475464,0.05998261,10,0.00000000,vegetative,19.65464326,141513.43146981
82,1,MS,False,0.00000000,2.84700000,0.00002561,1,814.54359698,814.54359698,0.06001627,10,0.00000000,vegetative,19.76777431,142327.97506679
83,1,MS,False,0.00000000,2.60500000,0.00002293,1,745.30596071,745.30596071,0.06004700,10,0.00000000,vegetative,19.87128903,143073.28102750
84,1,MS,False,0.00000000,2.49400000,0.00001695,1,713.54820192,713.54820192,0.06007634,10,0.00000000,vegetative,19.97039295,143786.82922942
85,1,MS,False,0.00000000,2.45700000,0.00001627,1,702.96228233,702.96228233,0.06010517,10,0.00000000,vegetative,20.06802660,144489.79151175
86,1,MS,False,0.00000000,2.40300000,0.00001414,1,687.51256183,687.51256183,0.06013328,10,0.00000000,vegetative,20.16351445,145177.30407358
87,1,MS,False,0.00000000,2.35400000,0.00001171,1,673.49337102,673.49337102,0.06016071,10,0.00000000,vegetative,20.25705520,145850.79744460
88,1,MS,False,0.00000000,2.30300000,0.00000881,1,658.90196833,658.90196833,0.06018746,10,0.00000000,vegetative,20.34856936,146509.69941293
89,1,MS,False,0.00000000,2.24100000,0.00000638,1,641.16340036,641.16340036,0.06021339,10,0.00000000,vegetative,20.43761984,147150.86281329
90,1,MS,False,0.00000000,2.17900000,0.00000675,1,623.42483239,623.42483239,0.06023851,10,0.00000000,vegetative,20.52420662,147774.28764569
91,1,MS,False,0.00000000,2.14300000,0.00000643,1,613.12501873,613.12501873,0.06026313,10,0.00000000,vegetative,20.60936287,148387.41266442
92,1,MS,False,0.00000000,2.07000000,0.00001060,1,592.23928548,592.23928548,0.06028681,10,0.00000000,vegetative,20.69161833,148979.65194989
93,1,MS,False,0.00000000,1.98800000,0.00016153,1,568.77859880,568.77859880,0.06030948,10,0.00000000,vegetative,20.77061535,149548.43054870
94,1,MS,False,0.00000000,1.93200000,0.00058664,1,552.75666644,552.75666644,0.06033152,10,0.00000000,vegetative,20.84738711,150101.18721514
95,1,MS,False,0.00000000,1.92100000,0.00084747,1,549.60950116,549.60950116,0.06035367,10,0.00000000,vegetative,20.92372177,150650.79671630
96,1,MS,False,0.00000000,2.04400000,0.00111586,1,584.80053116,584.80053116,0.06037781,10,0.00000000,vegetative,21.00494406,151235.59724746
97,1,MS,False,0.00000000,2.51600000,0.00086230,1,719.84253249,719.84253249,0.06040857,10,0.00000000,vegetative,21.10492219,151955.43977995
98,1,MS,False,0.00000000,2.92600000,0.00055705,1,837.14596585,837.14596585,0.06044563,10,0.00000000,vegetative,21.22119246,152792.58574580
99,1,MS,False,0.00000000,3.18900000,0.00043307,1,912.39182675,912.39182675,0.06048718,10,0.00000000,vegetative,21.34791355,153704.97757255
100,1,MS,False,0.00000000,3.18100000,0.00010678,1,910.10297927,910.10297927,0.06052948,10,0.00000000,vegetative,21.47431674,154615.08055183
101,1,MS,False,0.00000000,2.89100000,0.00005331,1,827.13225812,827.13225812,0.06056843,10,0.00000000,vegetative,21.58919622,155442.21280995
102,1,MS,False,0.00000000,2.60100000,0.00004201,1,744.16153697,744.16153697,0.06060370,10,0.00000000,vegetative,21.69255199,156186.37434692
103,1,MS,False,0.00000000,2.25000000,0.00003170,1,643.73835378,643.73835378,0.06063431,10,0.00000000,vegetative,21.78196010,156830.11270069
104,1,MS,False,0.00000000,2.09800000,0.00004698,1,600.25025166,600.25025166,0.06066288,10,0.00000000,vegetative,21.86532819,157430.36295235
105,1,MS,False,0.00000000,2.02300000,0.00005265,1,578.79230653,578.79230653,0.06069044,10,0.00000000,vegetative,21.94571601,158009.15525888
106,1,MS,False,0.00000000,1.94600000,0.00003636,1,556.76214953,556.76214953,0.06071694,10,0.00000000,vegetative,22.02304408,158565.91740841
107,1,MS,False,0.00000000,1.84900000,0.00002631,1,529.00987384,529.00987384,0.06074413,10,0.00000000,vegetative,22.09651768,159094.92728225
108,1,MS,False,0.00000000,1.78700000,0.00002914,1,511.27130587,511.27130587,0.06076842,10,0.00000000,vegetative,22.16752758,159606.19858812
109,1,MS,False,0.00000000,1.74200000,0.00002650,1,498.39653879,498.39653879,0.06079207,10,0.00000000,vegetative,22.23674932,160104.59512691
110,1,MS,False,0.00000000,1.72500000,0.00002710,1,493.53273790,493.53273790,0.06081546,10,0.00000000,vegetative,22.30529554,160598.12786480
111,1,MS,False,0.00000000,1.72000000,0.00002371,1,492.10220822,492.10220822,0.06083875,10,0.00000000,vegetative,22.37364307,161090.23007303
112,1,MS,False,0.00000000,1.68200000,0.00002355,1,481.23018269,481.23018269,0.06086150,10,0.00000000,vegetative,22.44048059,161571.46025572
113,1,MS,False,0.00000000,1.65400000,0.00002406,1,473.21921651,473.21921651,0.06088383,10,0.00000000,vegetative,22.50620548,162044.67947223
114,1,MS,False,0.00000000,1.65600000,0.00003276,1,473.79142838,473.79142838,0.06090615,10,0.00000000,vegetative,22.57200985,162518.47090061
115,1,MS,False,0.00000000,1.65800000,0.00003959,1,474.36364025,474.36364025,0.06092847,10,0.00000000,vegetative,22.63789369,162992.83454086
116,1,MS,False,0.00000000,1.68000000,0.00004876,1,480.65797082,480.65797082,0.06095105,10,0.00000000,vegetative,22.70465174,163473.49251168
117,1,MS,False,0.00000000,1.70000000,0.00012136,1,486.38008952,486.38008952,0.06097386,10,0.00000000,vegetative,22.77220453,163959.87260120
118,1,MS,False,0.00000000,1.76500000,0.00029335,1,504.97697530,504.97697530,0.06099752,10,0.00000000,vegetative,22.84234022,164464.84957649
119,1,MS,False,0.00000000,1.95000000,0.00055895,1,557.90657327,557.90657327,0.06102371,10,0.00000000,vegetative,22.91982724,165022.75614977
120,1,MS,False,0.00000000,2.39800000,0.00058797,1,686.08203216,686.08203216,0.06105614,10,0.00000000,vegetative,23.01511641,165708.83818193
121,1,MS,False,0.00000000,2.99000000,0.00047110,1,855.45674569,855.45674569,0.06109700,10,0.00000000,vegetative,23.13392985,166564.29492761
122,1,MS,False,0.00000000,3.39700000,0.00040405,1,971.90186124,971.90186124,0.06114397,10,0.00000000,vegetative,23.26891622,167536.19678885
123,1,MS,False,0.00000000,3.69100000,0.00024630,1,1056.01700613,1056.01700613,0.06119553,10,0.00000000,vegetative,23.41558525,168592.21379498
124,1,MS,False,0.00000000,3.78200000,0.00011027,1,1082.05264622,1082.05264622,0.06124882,10,0.00000000,vegetative,23.56587034,169674.26644120
125,1,MS,False,0.00000000,3.66400000,0.00004817,1,1048.29214588,1048.29214588,0.06130071,10,0.00000000,vegetative,23.71146647,170722.55858708
126,1,MS,False,0.00000000,3.47600000,0.00003873,1,994.50423010,994.50423010,0.06135007,10,0.00000000,vegetative,23.84959206,171717.06281718
127,1,MS,False,0.00000000,3.17700000,0.00003188,1,908.95855553,908.95855553,0.06139522,10,0.00000000,vegetative,23.97583630,172626.02137272
128,1,MS,False,0.00000000,2.72900000,0.00003743,1,780.78309665,780.78309665,0.06143401,10,0.00000000,vegetative,24.08427840,173406.80446937
129,1,MS,False,0.00000000,2.48900000,0.00003384,1,712.11767225,712.11767225,0.06146936,10,0.00000000,vegetative,24.18318363,174118.92214161
130,1,MS,False,0.00000000,2.43800000,0.00003082,1,697.52626956,697.52626956,0.06150397,10,0.00000000,vegetative,24.28006228,174816.44841117
131,1,MS,False,0.00000000,2.41200000,0.00002744,1,690.08751525,690.08751525,0.06153818,10,0.00000000,vegetative,24.37590777,175506.53592642
132,1,MS,False,0.00000000,2.35900000,0.00002637,1,674.92390069,674.92390069,0.06157159,10,0.00000000,vegetative,24.46964720,176181.45982712
133,1,MS,False,0.00000000,2.30300000,0.00002495,1,658.90196833,658.90196833,0.06160418,10,0.00000000,vegetative,24.56116136,176840.36179545
134,1,MS,False,0.00000000,2.04600000,0.00002153,1,585.37274304,585.37274304,0.06163309,10,0.00000000,vegetative,24.64246313,177425.73453848
135,1,MS,False,0.00000000,1.82700000,0.00001396,1,522.71554327,522.71554327,0.06165887,10,0.00000000,vegetative,24.71506251,177948.45008175
136,1,MS,False,0.00000000,1.73300000,0.00002393,1,495.82158538,495.82158538,0.06168330,10,0.00000000,vegetative,24.78392662,178444.27166713
137,1,MS,False,0.00000000,1.66000000,0.00002094,1,474.93585212,474.93585212,0.06170667,10,0.00000000,vegetative,24.84988993,178919.20751925
138,1,MS,False,0.00000000,1.59700000,0.00001353,1,456.91117821,456.91117821,0.06173170,10,0.00000000,vegetative,24.91334982,179376.11869746
139,1,MS,False,0.00000000,1.53100000,0.00000883,1,438.02818650,438.02818650,0.06175320,10,0.00000000,vegetative,24.97418707,179814.14688397
140,1,MS,False,0.00000000,1.46600000,0.00000639,1,419.43130073,419.43130073,0.06177375,10,0.00000000,vegetative,25.03244141,180233.57818469
141,1,MS,False,0.00000000,1.39300000,0.00015019,1,398.54556747,398.54556747,0.06179326,10,0.00000000,vegetative,25.08779497,180632.12375217
142,1,MS,False,0.00000000,1.34700000,0.00051774,1,385.38469446,385.38469446,0.06181213,10,0.00000000,vegetative,25.14132062,181017.50844663
143,1,MS,False,0.00000000,1.33000000,0.00090526,1,380.52089357,380.52089357,0.06183086,10,0.00000000,vegetative,25.19417074,181398.02934019
144,1,MS,False,0.00000000,1.34000000,0.00091207,1,383.38195292,383.38195292,0.06184994,10,0.00000000,vegetative,25.24741824,181781.41129311
145,1,MS,False,0.00000000,1.49800000,0.00062092,1,428.58669065,428.58669065,0.06187155,10,0.00000000,vegetative,25.30694416,182209.99798376
146,1,MS,False,0.00000000,1.75700000,0.00059479,1,502.68812782,502.68812782,0.06189722,10,0.00000000,vegetative,25.37676196,182712.68611157
147,1,MS,False,0.00000000,2.08500000,0.00032099,1,596.53087450,596.53087450,0.06192801,10,0.00000000,vegetative,25.45961347,183309.21698607
148,1,MS,False,0.00000000,2.13100000,0.00010636,1,609.69174751,609.69174751,0.06195975,10,0.00000000,vegetative,25.54429288,183918.90873359
149,1,MS,False,0.00000000,1.90200000,0.00004073,1,544.17348839,544.17348839,0.06198822,10,0.00000000,vegetative,25.61987253,184463.08222198
150,1,MS,False,0.00000000,1.63700000,0.00002886,1,468.35541562,468.35541562,0.06201280,10,0.00000000,vegetative,25.68492189,184931.43763759
151,1,MS,False,0.00000000,1.51200000,0.00002329,1,432.59217374,432.59217374,0.06203552,10,0.00000000,vegetative,25.74500414,185364.02981133
152,1,MS,False,0.00000000,1.45400000,0.00001774,1,415.99802951,415.99802951,0.06205739,10,0.00000000,vegetative,25.80278164,185780.02784084
153,1,MS,False,0.00000000,1.40700000,0.00002014,1,402.55105056,402.55105056,0.06207854,10,0.00000000,vegetative,25.85869151,186182.57889140
154,1,MS,False,0.00000000,1.37700000,0.00002314,1,393.96787251,393.96787251,0.06209925,10,0.00000000,vegetative,25.91340927,186576.54676391
155,1,MS,False,0.00000000,1.36200000,0.00002909,1,389.67628349,389.67628349,0.06211972,10,0.00000000,vegetative,25.96753098,186966.22304740
156,1,MS,False,0.00000000,1.36400000,0.00002099,1,390.24849536,390.24849536,0.06214022,10,0.00000000,vegetative,26.02173216,187356.47154276
157,1,MS,False,0.00000000,1.37900000,0.00001208,1,394.54008438,394.54008438,0.06216093,10,0.00000000,vegetative,26.07652939,187751.01162714
158,1,MS,False,0.00000000,1.40800000,0.00000913,1,402.83715650,402.83715650,0.06218206,10,0.00000000,vegetative,26.13247900,188153.84878364
159,1,MS,False,0.00000000,1.47400000,0.00000617,1,421.72014821,421.72014821,0.06220418,10,0.00000000,vegetative,26.19105124,188575.56893184
160,1,MS,False,0.00000000,1.58400000,0.00000618,1,453.19180106,453.19180106,0.06222793,10,0.00000000,vegetative,26.25399455,189028.76073290
161,1,MS,False,0.00000000,1.69700000,0.00000318,1,485.52177172,485.52177172,0.06225336,10,0.00000000,vegetative,26.32142813,189514.28250462
162,1,MS,False,0.00000000,1.84000000,0.00000318,1,526.43492042,526.43492042,0.06228091,10,0.00000000,vegetative,26.39454409,190040.71742504
163,1,MS,False,0.00000000,1.89600000,0.00000294,1,542.45685278,542.45685278,0.06230928,10,0.00000000,vegetative,26.46988532,190583.17427783
164,1,MS,False,0.00000000,1.67700000,0.00000000,1,479.79965302,479.79965302,0.06233435,10,0.00000000,vegetative,26.53652416,191062.97393084
165,1,MS,False,0.00000000,1.45900000,0.00008009,1,417.42855918,417.42855918,0.06235615,10,0.00000000,vegetative,26.59450035,191480.40249002
166,1,MS,False,0.00000000,1.43000000,0.00042439,1,409.13148707,409.13148707,0.06237752,10,0.00000000,vegetative,26.65132416,191889.53397709
167,1,MS,False,0.00000000,1.86200000,0.00063488,1,532.72925099,532.72925099,0.06240544,10,0.00000000,vegetative,26.72531434,192422.26322808
168,1,MS,False,0.00000000,2.57100000,0.00084447,1,735.57835892,735.57835892,0.06244423,10,0.00000000,vegetative,26.82747800,193157.84158700
169,1,MS,False,0.00000000,3.34600000,0.00105525,1,957.31045855,957.31045855,0.06249514,10,0.00000000,vegetative,26.96043778,194115.15204555
170,1,MS,False,0.00000000,4.05000000,0.00072384,1,1158.72903680,1158.72903680,0.06255730,10,0.00000000,vegetative,27.12137237,195273.88108235
171,1,MS,False,0.00000000,4.23300000,0.00044508,1,1211.08642291,1211.08642291,0.06262280,10,0.00000000,vegetative,27.28957882,196484.96750526
172,1,MS,False,0.00000000,4.01600000,0.00014663,1,1149.00143501,1149.00143501,0.06268532,10,0.00000000,vegetative,27.44916235,197633.96894027
173,1,MS,False,0.00000000,3.58000000,0.00003903,1,1024.25924734,1024.25924734,0.06274127,10,0.00000000,vegetative,27.59142058,198658.22818761
174,1,MS,False,0.00000000,3.06500000,0.00002820,1,876.91469081,876.91469081,0.06278926,10,0.00000000,vegetative,27.71321429,199535.14287842
175,1,MS,False,0.00000000,2.84500000,0.00003263,1,813.97138511,813.97138511,0.06283385,10,0.00000000,vegetative,27.82626587,200349.11426353
176,1,MS,False,0.00000000,2.86500000,0.00003310,1,819.69350381,819.69350381,0.06287876,10,0.00000000,vegetative,27.94011219,201168.80776734
177,1,MS,False,0.00000000,2.97000000,0.00003730,1,849.73462699,849.73462699,0.06292532,10,0.00000000,vegetative,28.05813089,202018.54239433
178,1,MS,False,0.00000000,3.08500000,0.00002945,1,882.63680951,882.63680951,0.06297368,10,0.00000000,vegetative,28.18071933,202901.17920384
179,1,MS,False,0.00000000,3.18700000,0.00002195,1,911.81961488,911.81961488,0.06302363,10,0.00000000,vegetative,28.30736095,203812.99881873
180,1,MS,False,0.00000000,3.29000000,0.00001939,1,941.28852619,941.28852619,0.06307517,10,0.00000000,vegetative,28.43809546,204754.28734492
181,1,MS,False,0.00000000,3.42200000,0.00001214,1,979.05450961,979.05450961,0.06312877,10,0.00000000,vegetative,28.57407526,205733.34185453
182,1,MS,False,0.00000000,3.60300000,0.00000822,1,1030.83968385,1030.83968385,0.06318517,10,0.00000000,vegetative,28.71724744,206764.18153838
183,1,MS,False,0.00000000,3.80800000,0.00000822,1,1089.49140053,1089.49140053,0.06324476,10,0.00000000,vegetative,28.86856569,207853.67293890
184,1,MS,False,0.00000000,3.94900000,0.00000823,1,1129.83233736,1129.83233736,0.06330653,10,0.00000000,vegetative,29.02548684,208983.50527627
185,1,MS,False,0.00000000,4.07200000,0.00000841,1,1165.02336737,1165.02336737,0.06337018,10,0.00000000,vegetative,29.18729564,210148.52864364
